title,category,subcategory,price,imageFolder,imageName,imagePath,description,tags,collection,isNew,isFeatured
Grinch Freshie,freshies-charms,freshies,0.99,freshies,grinch-freshie,/images/products/freshies/grinch-freshie.png,Transform your environment with this adorable Grinch Freshie freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, christmas, december, decorative, featured, freshies, grinch, holiday, home fragrance, new-arrival, scented, seasonal, winter",grinch,TRUE,TRUE
Minnie Mouse Freshie,freshies-charms,freshies,0.99,freshies,mickey-mouse-freshie,/images/products/freshies/mickey-mouse-freshie.png,Bring personality and freshness to your space with this unique Minnie Mouse Freshie. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, aroma, car accessory, decorative, featured, freshies, home fragrance, new-arrival, scented",,TRUE,TRUE
Faith Cross Freshie,freshies-charms,freshies,0.99,freshies,Faith-cross-freshie,/images/products/freshies/Faith-cross-freshie.png,Bring personality and freshness to your space with this unique Faith Cross Freshie. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, aroma, car accessory, decorative, featured, freshies, home fragrance, new-arrival, scented",,TRUE,TRUE
Blessed Cross Freshie,freshies-charms,freshies,0.99,freshies,blessed-cross-freshie,/images/products/freshies/blessed-cross-freshie.png,Bring personality and freshness to your space with this unique Blessed Cross Freshie. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Bow Pig Freshie,freshies-charms,freshies,0.99,freshies,girly-pig-freshie,/images/products/freshies/girly-pig-freshie.png,Transform your environment with this adorable Bow Pig Freshie freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
NFL team KC Freshie,freshies-charms,freshies,0.99,freshies,kc-nfl-freshies,/images/products/freshies/kc-nfl-freshies.png,Transform your environment with this adorable NFL team KC Freshie freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Dariy Cow Freshie,freshies-charms,freshies,0.99,freshies,dairy-cow-freshie,/images/products/freshies/dairy-cow-freshie.png,Bring personality and freshness to your space with this unique Dariy Cow Freshie. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, animal, aroma, car accessory, country, decorative, farm, farmhouse, freshies, home fragrance, new-arrival, rustic, scented",cow,TRUE,FALSE
Highland Cow Freshie,freshies-charms,freshies,0.99,freshies,highland-cow-freshie,/images/products/freshies/highland-cow-freshie.png,Bring personality and freshness to your space with this unique Highland Cow Freshie. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, animal, aroma, car accessory, country, decorative, farm, farmhouse, freshies, home fragrance, new-arrival, rustic, scented",cow,TRUE,FALSE
Mason Jar Printed Freshie,freshies-charms,freshies,0.99,freshies,mason-jar-freshie,/images/products/freshies/mason-jar-freshie.png,"Add a delightful aroma to your space with this charming Mason Jar Printed Freshie. Perfect for your car, closet, or any room that needs a fresh scent.","affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Turtle Freshie Optional Glitter,freshies-charms,freshies,0.99,freshies,turtle-freshie,/images/products/freshies/turtle-freshie.png,Transform your environment with this adorable Turtle Freshie Optional Glitter freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Car Fan Printed Freshie,freshies-charms,freshies,0.99,freshies,race-car-freshie,/images/products/freshies/race-car-freshie.png,Bring personality and freshness to your space with this unique Car Fan Printed Freshie. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Martini Freshie,freshies-charms,freshies,0.99,freshies,martini-glass-freshie,/images/products/freshies/martini-glass-freshie.png,Transform your environment with this adorable Martini Freshie freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Pumpkin Flower Freshie,freshies-charms,freshies,0.99,freshies,pumpkin-fall-freshie,/images/products/freshies/pumpkin-fall-freshie.png,Make your car or room smell amazing with this cute Pumpkin Flower Freshie freshie. A perfect blend of style and function.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Dream Catcher Freshie,freshies-charms,freshies,0.99,freshies,dream-catcher-freshie,/images/products/freshies/dream-catcher-freshie.png,Make your car or room smell amazing with this cute Dream Catcher Freshie freshie. A perfect blend of style and function.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Christmas Tree Freshie,freshies-charms,freshies,0.99,freshies,patterned-tree-freshie,/images/products/freshies/patterned-tree-freshie.png,Make your car or room smell amazing with this cute Christmas Tree Freshie freshie. A perfect blend of style and function.,"affordable, air freshener, aroma, car accessory, christmas, december, decorative, freshies, holiday, home fragrance, new-arrival, scented, seasonal, winter",,TRUE,FALSE
Cactus Freshie,freshies-charms,freshies,0.99,freshies,cacti-freshie,/images/products/freshies/cacti-freshie.png,Transform your environment with this adorable Cactus Freshie freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Mama Bear Freshie Optional Glitter,freshies-charms,freshies,0.99,freshies,mama-bear-pink-freshie,/images/products/freshies/mama-bear-pink-freshie.png,Transform your environment with this adorable Mama Bear Freshie Optional Glitter freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Mermaid Tail Freshie Glitter Optional,freshies-charms,freshies,0.99,freshies,mermaid-tail-freshie,/images/products/freshies/mermaid-tail-freshie.png,Bring personality and freshness to your space with this unique Mermaid Tail Freshie Glitter Optional. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Fishing Lure Freshie,freshies-charms,freshies,0.99,freshies,fishing-lure-freshie,/images/products/freshies/fishing-lure-freshie.png,"Add a delightful aroma to your space with this charming Fishing Lure Freshie. Perfect for your car, closet, or any room that needs a fresh scent.","affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Snowflake Freshie,freshies-charms,freshies,0.99,freshies,snowflake-freshie,/images/products/freshies/snowflake-freshie.png,Make your car or room smell amazing with this cute Snowflake Freshie freshie. A perfect blend of style and function.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Customizable Printed Circle Freshie,freshies-charms,freshies,0.99,freshies,circle-printed-freshie,/images/products/freshies/circle-printed-freshie.png,Transform your environment with this adorable Customizable Printed Circle Freshie freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Unicorn Cup,cups,kids-cups,0.99,cups,unicorn-kids-cup,/images/products/cups/unicorn-kids-cup.png,"Add some fun to your drinking routine with this custom Unicorn Cup. Durable, practical, and absolutely adorable.","affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Mermaid Cup,cups,kids-cups,0.99,cups,mermaid-kids-cup,/images/products/cups/mermaid-kids-cup.png,Make beverage time more exciting with this unique Mermaid Cup. Crafted for everyday use while maintaining its charm.,"affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Puppy Love Cup,cups,kids-cups,0.99,cups,girly-puppy-cup,/images/products/cups/girly-puppy-cup.png,Elevate your drink experience with this stunning Puppy Love Cup. Perfect for gifting or treating yourself.,"affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Minnie Mouse Cup,cups,kids-cups,0.99,cups,minnie-mouse-kids-cup,/images/products/cups/minnie-mouse-kids-cup.png,"Stay hydrated in style with this beautiful Minnie Mouse Cup. Perfect for both hot and cold beverages, this cup makes every drink special.","affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Hello Kitty Cup,cups,kids-cups,0.99,cups,hello-kitty-kids-cup,/images/products/cups/hello-kitty-kids-cup.png,Elevate your drink experience with this stunning Hello Kitty Cup. Perfect for gifting or treating yourself.,"affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
32 oz Princess Cup,cups,kids-cups,0.99,cups,princess-kids-cup,/images/products/cups/princess-kids-cup.png,Elevate your drink experience with this stunning 32 oz Princess Cup. Perfect for gifting or treating yourself.,"affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
32 oz Hello Kitty Cup,cups,kids-cups,0.99,cups,large-hello-kitty-kids-cup,/images/products/cups/large-hello-kitty-kids-cup.png,Make beverage time more exciting with this unique 32 oz Hello Kitty Cup. Crafted for everyday use while maintaining its charm.,"affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
32 oz Mermaid Cup,cups,kids-cups,0.99,cups,large-mermaid-kids-cup,/images/products/cups/large-mermaid-kids-cup.png,Make beverage time more exciting with this unique 32 oz Mermaid Cup. Crafted for everyday use while maintaining its charm.,"affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Spiderman Cup,cups,kids-cups,0.99,cups,spiderman-kids-cup,/images/products/cups/spiderman-kids-cup.png,"Add some fun to your drinking routine with this custom Spiderman Cup. Durable, practical, and absolutely adorable.","affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Marvel Cup,cups,kids-cups,0.99,cups,marval-kids-cup,/images/products/cups/marval-kids-cup.png,"Add some fun to your drinking routine with this custom Marvel Cup. Durable, practical, and absolutely adorable.","affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Tractor Cup,cups,kids-cups,0.99,cups,boy-tractor-kids-cup,/images/products/cups/boy-tractor-kids-cup.png,Make beverage time more exciting with this unique Tractor Cup. Crafted for everyday use while maintaining its charm.,"affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Hot Wheels Cup,cups,kids-cups,0.99,cups,hot-wheels-cars-kids-cup,/images/products/cups/hot-wheels-cars-kids-cup.png,"Add some fun to your drinking routine with this custom Hot Wheels Cup. Durable, practical, and absolutely adorable.","affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Mickey Mouse Clubhouse Cup ,cups,kids-cups,0.99,cups,donald-duck-kids-cup,/images/products/cups/donald-duck-kids-cup.png,Elevate your drink experience with this stunning Mickey Mouse Clubhouse Cup . Perfect for gifting or treating yourself.,"affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Paw Patrol Tower Cup,cups,kids-cups,0.99,cups,paw-patrol-tower-kids-cup,/images/products/cups/paw-patrol-tower-kids-cup.png,Make beverage time more exciting with this unique Paw Patrol Tower Cup. Crafted for everyday use while maintaining its charm.,"affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Cars Cup,cups,kids-cups,0.99,cups,cars-checkered-kids-cup,/images/products/cups/cars-checkered-kids-cup.png,Make beverage time more exciting with this unique Cars Cup. Crafted for everyday use while maintaining its charm.,"affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Blue Bluey Family Cup,cups,kids-cups,0.99,cups,blue-bluey-kids-cup,/images/products/cups/blue-bluey-kids-cup.png,"Stay hydrated in style with this beautiful Blue Bluey Family Cup. Perfect for both hot and cold beverages, this cup makes every drink special.","affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, featured, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,TRUE
Pink Flowered Bluey Cup,cups,kids-cups,0.99,cups,pink-flowered-bluey-kids-cup,/images/products/cups/pink-flowered-bluey-kids-cup.png,Elevate your drink experience with this stunning Pink Flowered Bluey Cup. Perfect for gifting or treating yourself.,"affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Paw Patrol Running Cup,cups,kids-cups,0.99,cups,paw-patrol-running-kids-cup,/images/products/cups/paw-patrol-running-kids-cup.png,"Add some fun to your drinking routine with this custom Paw Patrol Running Cup. Durable, practical, and absolutely adorable.","affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Monster Jam Cup,cups,kids-cups,0.99,cups,monster-jam-kids-cup,/images/products/cups/monster-jam-kids-cup.png,"Stay hydrated in style with this beautiful Monster Jam Cup. Perfect for both hot and cold beverages, this cup makes every drink special.","affordable, beverage, children, children gift, custom cup, custom kids, drink holder, drinkware, gift, kids, kids-cups, new-arrival, sippy cup",,TRUE,FALSE
Mommy Reminders 16oz Cup,cups,sublimation-tumblers,0.99,cups,mommy-reminders-adult-cup,/images/products/cups/mommy-reminders-adult-cup.png,"Stay hydrated in style with this beautiful Mommy Reminders 16oz Cup. Perfect for both hot and cold beverages, this cup makes every drink special.","affordable, beverage, custom cup, custom tumbler, drink holder, drinkware, gift, hot and cold, insulated, new-arrival, sublimation-tumblers, travel cup",,TRUE,FALSE
Mom to Grandma 16 oz Cup,cups,sublimation-tumblers,0.99,cups,mom-to-grandma-adult-cup,/images/products/cups/mom-to-grandma-adult-cup.png,"Stay hydrated in style with this beautiful Mom to Grandma 16 oz Cup. Perfect for both hot and cold beverages, this cup makes every drink special.","affordable, beverage, custom cup, custom tumbler, drink holder, drinkware, gift, hot and cold, insulated, new-arrival, sublimation-tumblers, travel cup",,TRUE,FALSE
I am Confident 16 oz Cup,cups,sublimation-tumblers,0.99,cups,i-am-confident-adult-cup,/images/products/cups/i-am-confident-adult-cup.png,"Stay hydrated in style with this beautiful I am Confident 16 oz Cup. Perfect for both hot and cold beverages, this cup makes every drink special.","affordable, beverage, custom cup, custom tumbler, drink holder, drinkware, gift, hot and cold, insulated, new-arrival, sublimation-tumblers, travel cup",,TRUE,FALSE
Country Life 16 oz Cup,cups,sublimation-tumblers,0.99,cups,country-life-adult-cup,/images/products/cups/country-life-adult-cup.png,Make beverage time more exciting with this unique Country Life 16 oz Cup. Crafted for everyday use while maintaining its charm.,"affordable, beverage, custom cup, custom tumbler, drink holder, drinkware, gift, hot and cold, insulated, new-arrival, sublimation-tumblers, travel cup",,TRUE,FALSE
Happy Cow Advice 16 oz Cup,cups,sublimation-tumblers,0.99,cups,happy-cow-adult-cup,/images/products/cups/happy-cow-adult-cup.png,"Add some fun to your drinking routine with this custom Happy Cow Advice 16 oz Cup. Durable, practical, and absolutely adorable.","affordable, animal, beverage, country, custom cup, custom tumbler, drink holder, drinkware, farm, farmhouse, gift, hot and cold, insulated, new-arrival, rustic, sublimation-tumblers, travel cup",cow,TRUE,FALSE
Kneel Flowered 32oz Cup,cups,sublimation-tumblers,0.99,cups,kneel-tall-adult-cup,/images/products/cups/kneel-tall-adult-cup.png,Make beverage time more exciting with this unique Kneel Flowered 32oz Cup. Crafted for everyday use while maintaining its charm.,"affordable, beverage, custom cup, custom tumbler, drink holder, drinkware, gift, hot and cold, insulated, new-arrival, sublimation-tumblers, travel cup",,TRUE,FALSE
Mermaid 32 oz Cup,cups,sublimation-tumblers,0.99,cups,mermaid-tall-adult-cup,/images/products/cups/mermaid-tall-adult-cup.png,"Stay hydrated in style with this beautiful Mermaid 32 oz Cup. Perfect for both hot and cold beverages, this cup makes every drink special.","affordable, beverage, custom cup, custom tumbler, drink holder, drinkware, gift, hot and cold, insulated, new-arrival, sublimation-tumblers, travel cup",,TRUE,FALSE
Walk by Faith 32 oz Cup,cups,sublimation-tumblers,0.99,cups,walk-by-faith-adult-cup,/images/products/cups/walk-by-faith-adult-cup.png,"Add some fun to your drinking routine with this custom Walk by Faith 32 oz Cup. Durable, practical, and absolutely adorable.","affordable, beverage, custom cup, custom tumbler, drink holder, drinkware, featured, gift, hot and cold, insulated, new-arrival, sublimation-tumblers, travel cup",,TRUE,TRUE
Girl Loves Horses 32 oz Cup,cups,sublimation-tumblers,0.99,cups,girls-loves-horses-adult-cup,/images/products/cups/girls-loves-horses-adult-cup.png,"Stay hydrated in style with this beautiful Girl Loves Horses 32 oz Cup. Perfect for both hot and cold beverages, this cup makes every drink special.","affordable, beverage, custom cup, custom tumbler, drink holder, drinkware, gift, hot and cold, insulated, new-arrival, sublimation-tumblers, travel cup",,TRUE,FALSE
Let er Rip Coffee Cup,cups,sublimation-tumblers,0.99,cups,let-er-rip-coffee-cup,/images/products/cups/let-er-rip-coffee-cup.png,"Add some fun to your drinking routine with this custom Let er Rip Coffee Cup. Durable, practical, and absolutely adorable.","affordable, beverage, custom cup, custom tumbler, drink holder, drinkware, featured, gift, hot and cold, insulated, new-arrival, sublimation-tumblers, travel cup",,TRUE,TRUE
Relax on River time Coffee Cup,cups,sublimation-tumblers,1.99,cups,relax-on-river-time-coffee-cup,/images/products/cups/relax-on-river-time-coffee-cup.png,Make beverage time more exciting with this unique Relax on River time Coffee Cup. Crafted for everyday use while maintaining its charm.,"affordable, beverage, custom cup, custom tumbler, drink holder, drinkware, gift, hot and cold, insulated, new-arrival, sublimation-tumblers, travel cup",,TRUE,FALSE
Keeping it Reel on River,cups,sublimation-tumblers,2.99,cups,keeping-it-reel-coffee-cup,/images/products/cups/keeping-it-reel-coffee-cup.png,"Add some fun to your drinking routine with this custom Keeping it Reel on River. Durable, practical, and absolutely adorable.","affordable, beverage, custom cup, custom tumbler, drink holder, drinkware, gift, hot and cold, insulated, new-arrival, sublimation-tumblers, travel cup",,TRUE,FALSE
Nativity Scene Slate,photo-slates,photo-slates,0.99,photo-slates,nativity-photo-slates,/images/products/photo-slates/nativity-photo-slates.png,Turn your cherished photos into artwork with this custom Nativity Scene Slate. A beautiful way to preserve and display your memories.,"affordable, custom photo, featured, home decor, memory, new-arrival, personalized, photo-slates, wall art",,TRUE,TRUE
Grinch Slate,photo-slates,photo-slates,0.99,photo-slates,grinch-photo-slates,/images/products/photo-slates/grinch-photo-slates.png,Create lasting memories with this sophisticated Grinch Slate. Each piece tells your unique story.,"affordable, christmas, custom photo, december, featured, grinch, holiday, home decor, memory, new-arrival, personalized, photo-slates, seasonal, wall art, winter",grinch,TRUE,TRUE
Fishing Coastal Slate,photo-slates,photo-slates,0.99,photo-slates,fishing-photo-slate,/images/products/photo-slates/fishing-photo-slate.png,Turn your cherished photos into artwork with this custom Fishing Coastal Slate. A beautiful way to preserve and display your memories.,"affordable, custom photo, home decor, memory, new-arrival, personalized, photo-slates, wall art",,TRUE,FALSE
Red Barn and Truck Slate,photo-slates,photo-slates,0.99,photo-slates,snow-red-barn-truck-slate,/images/products/photo-slates/snow-red-barn-truck-slate.png,Capture your precious memories on this elegant Red Barn and Truck Slate. Each photo slate transforms your photos into stunning wall art.,"affordable, custom photo, home decor, memory, new-arrival, personalized, photo-slates, wall art",,TRUE,FALSE
Snowy Cardinal Slate,photo-slates,photo-slates,0.99,photo-slates,two-cardinal-photo-slate,/images/products/photo-slates/two-cardinal-photo-slate.png,Create lasting memories with this sophisticated Snowy Cardinal Slate. Each piece tells your unique story.,"affordable, custom photo, featured, home decor, memory, new-arrival, personalized, photo-slates, wall art",,TRUE,TRUE
Highland Cow Slate,photo-slates,photo-slates,0.99,photo-slates,highland-cow-photo-slate,/images/products/photo-slates/highland-cow-photo-slate.png,Turn your cherished photos into artwork with this custom Highland Cow Slate. A beautiful way to preserve and display your memories.,"affordable, animal, country, custom photo, farm, farmhouse, home decor, memory, new-arrival, personalized, photo-slates, rustic, wall art",cow,TRUE,FALSE
House Divided NFL Glass Cutting Board,accessories-home,cutting-boards,0.99,cutting-boards,house-divided-nfl-cutting-board,/images/products/cutting-boards/house-divided-nfl-cutting-board.png,Add style to your kitchen with this unique House Divided NFL Glass Cutting Board cutting board. Combines functionality with beautiful design.,"affordable, custom, custom kitchen, cutting-boards, decorative, featured, food prep, gift, home decor, kitchen, kitchen decor, new-arrival, serving board",,TRUE,TRUE
Grinch Glass Cutting Board,accessories-home,cutting-boards,0.99,cutting-boards,grinch-cutting-board,/images/products/cutting-boards/grinch-cutting-board.png,Elevate your kitchen with this stunning Grinch Glass Cutting Board cutting board. Perfect for food prep or as a beautiful serving piece.,"affordable, christmas, custom, custom kitchen, cutting-boards, december, decorative, food prep, gift, grinch, holiday, home decor, kitchen, kitchen decor, new-arrival, seasonal, serving board, winter",grinch,TRUE,FALSE
Gingerbread Glass Cutting Board,accessories-home,cutting-boards,0.99,cutting-boards,ginger-bread-cutting-board,/images/products/cutting-boards/ginger-bread-cutting-board.png,Add style to your kitchen with this unique |Gingerbread Glass Cutting Board cutting board. Combines functionality with beautiful design.,"affordable, custom, custom kitchen, cutting-boards, decorative, food prep, gift, home decor, kitchen, kitchen decor, new-arrival, serving board",,TRUE,FALSE
Baseball Car Coasters,cups,coasters,0.99,car-coasters,home-run-baseball-car-coasters,/images/products/car-coasters/home-run-baseball-car-coasters.png,Protect your surfaces in style with these charming Baseball Car Coasters coasters. Both functional and decorative.,"affordable, beverage, coasters, custom cup, drink coaster, drink holder, drinkware, featured, gift, home accessory, new-arrival, table decor, table protection",,TRUE,TRUE
Eat Sleep Baseball Car Coasters ,cups,coasters,0.99,car-coasters,eat-sleep-baseball-car-coasters,/images/products/car-coasters/eat-sleep-baseball-car-coasters.png,Protect your surfaces in style with these charming Eat Sleep Baseball Car Coasters  coasters. Both functional and decorative.,"affordable, beverage, coasters, custom cup, drink coaster, drink holder, drinkware, gift, home accessory, new-arrival, table decor, table protection",,TRUE,FALSE
Crabby Car Coasters,cups,coasters,0.99,car-coasters,crabby-car-coaster,/images/products/car-coasters/crabby-car-coaster.png,Add personality to your table settings with these unique Crabby Car Coasters coasters. Perfect for any occasion.,"affordable, beverage, coasters, custom cup, drink coaster, drink holder, drinkware, gift, home accessory, new-arrival, table decor, table protection",,TRUE,FALSE
Cow Car Coasters,cups,coasters,0.99,car-coasters,cow-car-coaster,/images/products/car-coasters/cow-car-coaster.png,Add personality to your table settings with these unique Cow Car Coasters coasters. Perfect for any occasion.,"affordable, animal, beverage, coasters, country, custom cup, drink coaster, drink holder, drinkware, farm, farmhouse, gift, home accessory, new-arrival, rustic, table decor, table protection",cow,TRUE,FALSE
Flamingo Wind Spinner,accessories-home,wind-spinners,0.99,wind-spinners,flamingo-wind-spinner,/images/products/wind-spinners/flamingo-wind-spinner.png,Watch your garden come alive with this mesmerizing Flamingo Wind Spinner wind spinner. Creates a beautiful display of motion and color.,"affordable, custom, decorative, featured, garden, garden decor, gift, home decor, metal art, new-arrival, outdoor, wind-spinners, yard art",,TRUE,TRUE
